x,y,z,roll,pitch
45,-254,242,-46.38934,-7.309849
42,-186,216,-40.73511,-8.382492
-18,-189,118,-58.02615,4.618992
21,-212,152,-54.3642,-4.602891
-4,-218,167,-52.54977,0.8345661
3,-204,148,-54.04346,-0.6820247
-1,-483,126,-75.38468,0.1147917
-94,-209,23,-83.72616,24.08937
52,-41,-37,-132.074,-43.27949
222,129,-7,93.11289,-59.80774
210,238,224,46.73915,-32.72435
3,42,511,4.699027,-0.3352648
59,57,275,11.7109,-11.86505
38,107,282,20.77991,-7.181246
23,78,285,15.30727,-4.45121
11,30,313,5.475287,-2.003734
149,133,362,20.17499,-21.12567
249,158,327,25.79082,-34.43816
207,-15,187,-4.586437,-47.81803
280,123,171,35.73003,-53.05004
138,-57,-31,-118.5487,-64.82292
197,99,96,45.88478,-55.01161
215,104,45,66.60715,-62.21262
-193,-106,72,-55.81799,56.42236
-126,9,329,1.567086,20.95016
5,132,239,28.91405,-1.049221
14,167,292,29.7682,-2.383411
-98,101,203,26.45399,23.37656
-71,77,136,29.51969,24.43402
-151,112,274,22.23438,27.02919
-96,78,278,15.67397,18.39253
-108,100,511,11.07337,11.71877
-89,65,103,32.25708,36.15963
-138,8,109,4.197978,51.6253
-100,-62,-226,-164.6712,23.11022
106,55,316,9.874186,-18.28876
95,76,511,8.460098,-10.42033
83,79,282,15.65093,-15.8247
65,54,257,11.86706,-13.90311
61,88,511,9.771862,-6.71005
55,66,297,12.52973,-10.24775
59,25,342,4.181159,-9.763191
89,52,392,7.556901,-12.68509
68,53,308,9.764437,-12.27607
73,81,369,12.38167,-10.93735
33,91,511,10.09825,-3.638179
2,25,167,8.514615,-0.6786334
58,100,442,12.74917,-7.294
93,71,511,7.910801,-10.2194
49,-1,126,-0.4547524,-21.25146
58,94,511,10.42397,-6.370023
43,57,380,8.531395,-6.385644
-27,4,19,11.88953,54.28298
86,119,511,13.11017,-9.30935
77,44,322,7.78162,-13.33021
54,66,329,11.34425,-9.142759
52,87,511,9.662924,-5.729038
1,27,195,7.88372,-0.2910668
43,78,346,12.70496,-6.91303
84,92,511,10.2069,-9.190504
58,10,140,4.085918,-22.45368
51,86,464,10.50109,-6.168651
32,50,299,9.494093,-6.02614
42,42,340,7.042558,-6.98996
61,73,277,14.76501,-12.02223
62,76,278,15.29112,-12.14175
81,12,295,2.329563,-15.34272
162,61,267,12.87012,-30.60661
34,111,346,17.78803,-5.345928
144,96,281,18.86345,-25.87234
281,276,369,36.79801,-31.3775
274,156,287,28.52857,-39.99285
16,52,-115,155.6802,-7.225532
-8,-136,-179,-142.7838,2.038246
161,170,130,52.59851,-36.957
97,156,511,16.97783,-10.29085
-28,67,478,7.979603,3.32027
-184,-95,118,-38.83987,50.53871
2,9,417,1.236499,-0.274754
180,54,511,6.032795,-19.30678
104,180,236,37.33595,-19.31152
22,-55,-52,-133.4038,-16.20816
65,75,247,16.89183,-14.13461
107,-51,511,-5.699911,-11.77052
-19,131,370,19.49815,2.771552
-33,79,23,73.77308,21.85582
10,42,131,17.77771,-4.157895
193,14,511,1.56947,-20.68551
58,242,311,37.89053,-8.373573
88,0,0,0.0,-90.00663
59,54,61,41.51979,-35.91518
-8,386,399,44.05448,0.8256583
-66,-40,502,-4.556111,7.467105
36,-84,-4,-92.73314,-23.17681
-81,-60,367,-9.285699,12.28895
183,209,511,22.2463,-18.34008
197,507,511,44.77817,-15.30661
-18,-94,-135,-145.1613,6.244977
-464,-63,58,-47.36974,79.54937
66,156,357,23.60585,-9.615688
136,-147,505,-16.2309,-14.49877
15,95,358,14.86276,-2.319257
28,-81,135,-30.96604,-10.08537
79,18,469,2.198068,-9.555146
111,-191,285,-33.83151,-17.92962
16,-188,131,-55.13495,-3.994569
-455,39,218,10.14361,64.05126
159,-16,511,-1.793543,-17.27708
19,36,511,4.030132,-2.124287
137,45,303,8.44815,-24.09787
63,-125,335,-20.46378,-9.993326
269,-232,511,-24.4204,-25.6117
-1,48,87,28.88871,0.5766541
-319,-216,326,-33.52999,39.20773
-120,-44,273,-9.156424,23.46066
221,242,511,25.34322,-21.35056
239,-7,511,-0.7848824,-25.06576
85,-69,344,-11.34279,-13.61952
109,-54,178,-16.87751,-30.37201
37,-32,44,-36.03003,-34.2211
143,57,443,7.3324,-17.75428
301,44,449,5.597273,-33.71302
-123,194,0,90.00663,32.37793
